x,y,z
-26913.01,28499.19,0.00
-7987.27,26736.41,0.00
-11113.06,27878.92,0.0
-9389.83,27299.58,0.00
-12856.21,28340.15,0.00
-14964.44,28747.15,0.00
-17072.67,29002.25,0.00
-19591.83,29125.12,0.00
-22109.12,29066.31,0.00
-24517.85,28853.14,0.00
